Date,GSP_Used,EGAT_e,IPP_e,SPP_e,IND_e,NGV_e,Other_e,EGAT_w,IPP_w,SPP_w,IND_w,NGV_w,Other_w,CHN+KHN_S,CHNNGV_S,GSP4Used_S,NP_Esan,NPNGV_Esan,EGAT-E,Others-E,EGAT-W,Others-W,East_Summary,West_Summary,South_Summary,Esan_Summary,Mixing_Summary
1/1/2022,795,195,68,697,578,91,7,-,-,25,-,-,0,235,1,11,53,5,152,11,-,-,"2,430",25,248,58,163
1/2/2022,829,194,83,740,562,80,7,-,-,26,-,-,-,234,-,11,82,5,149,11,-,-,"2,495",26,245,87,161
1/3/2022,811,95,46,967,684,101,7,101,97,65,6,8,-,258,2,12,104,6,86,2,101,9,"2,711",278,272,110,199
1/4/2022,807,68,43,"1,177",685,100,7,286,169,90,6,8,-,271,2,13,104,7,68,2,286,9,"2,887",560,286,111,366
1/5/2022,813,87,6,"1,255",729,129,9,317,277,90,8,10,2,279,2,13,104,7,87,1,317,12,"3,027",703,294,111,416
1/6/2022,789,101,229,"1,256",720,128,7,307,161,89,8,10,2,281,2,0,104,8,101,1,307,12,"3,230",576,283,112,420
1/7/2022,788,76,249,"1,271",719,128,7,354,113,88,8,10,2,287,2,14,104,9,76,1,354,12,"3,237",574,303,112,443
1/8/2022,787,82,218,"1,229",709,129,7,367,112,90,8,10,2,285,2,14,104,9,74,1,367,12,"3,161",589,301,112,454
1/9/2022,807,62,179,"1,110",644,102,7,376,117,79,7,8,2,273,1,4,104,9,62,1,376,10,"2,911",589,278,112,449
1/10/2022,796,69,137,"1,258",722,124,6,370,124,87,8,10,2,265,2,12,104,8,69,1,370,12,"3,112",601,279,112,452
1/11/2022,777,45,212,"1,288",716,124,5,370,113,88,8,10,2,294,2,14,104,8,45,1,370,12,"3,167",590,310,112,428
1/12/2022,793,48,142,"1,292",717,124,6,390,112,89,8,10,2,294,2,14,104,9,48,1,390,12,"3,122",610,310,113,451
1/13/2022,797,58,105,"1,291",719,124,6,470,219,90,8,10,4,274,2,13,103,9,58,1,470,12,"3,101",802,289,112,541
1/14/2022,804,87,22,"1,292",722,125,5,452,367,93,8,9,7,258,1,12,102,8,87,2,452,11,"3,057",937,271,110,552
1/15/2022,795,61,-,"1,282",728,125,6,420,404,94,8,9,7,264,2,12,103,8,61,2,420,11,"2,997",942,279,112,494
1/16/2022,803,57,-,"1,128",657,100,6,464,386,82,7,7,7,277,2,13,103,8,57,1,464,9,"2,749",953,292,111,532
1/17/2022,795,58,27,"1,232",731,122,6,468,372,93,8,8,7,275,2,14,103,9,58,2,468,11,"2,970",956,292,112,538
1/18/2022,805,54,38,"1,248",724,121,5,435,380,93,8,8,7,240,2,12,103,8,54,2,435,11,"2,997",931,255,111,501
1/19/2022,841,61,71,"1,259",729,122,6,458,368,93,8,8,7,256,2,12,103,8,57,2,458,11,"3,088",942,270,111,527
1/20/2022,831,58,65,"1,268",730,122,6,469,359,94,8,8,7,278,2,13,103,9,58,2,469,11,"3,080",944,293,112,539
1/21/2022,830,63,85,"1,274",728,122,6,474,355,93,8,8,7,286,2,14,103,8,63,2,474,11,"3,108",945,302,112,549
1/22/2022,832,79,0,"1,271",730,123,6,466,378,95,8,8,7,265,2,12,103,8,79,2,466,11,"3,040",962,280,112,557
1/23/2022,810,82,0,"1,155",666,99,6,456,379,83,9,7,7,258,2,12,95,8,82,1,456,9,"2,818",940,273,103,548
1/24/2022,833,135,72,"1,261",728,120,6,381,446,93,10,8,7,301,2,14,104,9,65,1,381,11,"3,155",946,317,113,458
1/25/2022,833,189,90,"1,263",719,120,6,404,430,93,10,8,8,300,2,14,103,8,74,1,404,11,"3,220",952,316,111,490
1/26/2022,818,188,173,"1,262",717,120,5,411,434,93,10,8,8,281,2,13,103,8,74,1,411,11,"3,282",964,296,112,497
1/27/2022,816,216,156,"1,258",727,120,5,377,440,93,10,8,8,267,3,12,104,7,109,1,377,11,"3,298",936,282,111,498
1/28/2022,816,221,242,"1,262",728,120,6,365,449,94,10,8,7,273,3,12,104,7,111,1,365,11,"3,395",932,288,111,488
1/29/2022,811,199,264,"1,246",736,120,7,313,295,95,10,8,5,291,3,13,104,8,89,1,313,11,"3,384",727,306,112,414
1/30/2022,821,165,71,"1,119",665,99,6,394,472,81,8,7,7,287,2,11,104,8,76,1,394,9,"2,946",969,301,112,480
1/31/2022,727,148,0,"1,244",747,121,5,371,444,93,10,8,7,292,2,11,101,9,67,1,371,11,"2,993",933,305,110,451
2/1/2022,824,190,-,"1,282",768,121,6,415,423,93,10,8,7,263,2,12,104,8,53,1,415,11,"3,190",957,277,112,480
2/2/2022,798,209,38,"1,270",766,120,5,414,427,94,10,8,7,316,2,12,104,8,47,1,414,11,"3,207",960,329,112,474
2/3/2022,818,208,76,"1,261",762,120,6,431,434,93,10,8,7,307,2,12,104,8,49,1,431,11,"3,250",983,321,112,492
2/4/2022,817,201,106,"1,257",771,120,6,406,435,93,10,8,7,304,2,11,104,9,45,1,406,11,"3,278",959,317,113,463
2/5/2022,816,125,22,"1,250",773,120,5,420,427,94,10,8,7,318,2,12,103,8,48,1,420,11,"3,111",966,333,112,481
2/6/2022,809,239,72,"1,086",693,99,6,403,450,82,9,7,6,270,2,10,94,9,46,1,403,9,"3,003",957,282,103,459
2/7/2022,804,205,105,"1,195",760,120,6,428,436,91,10,8,7,319,2,12,92,8,51,1,428,11,"3,196",981,333,100,491
2/8/2022,807,253,133,"1,201",746,119,6,435,411,91,10,8,7,327,2,12,98,8,49,1,435,11,"3,266",962,342,106,495
2/9/2022,768,263,197,"1,217",757,119,6,433,410,90,10,8,7,336,2,12,98,9,50,1,433,11,"3,327",958,350,107,495
2/10/2022,836,212,260,"1,230",759,120,6,430,421,90,10,8,8,320,2,12,98,8,48,1,430,11,"3,423",968,334,106,490
2/11/2022,827,242,267,"1,246",771,120,5,432,417,91,10,8,8,315,2,12,97,9,48,1,432,11,"3,479",965,329,106,491
2/12/2022,806,241,257,"1,223",760,120,5,429,417,94,10,8,8,328,2,13,65,8,47,1,429,11,"3,414",967,343,73,488
2/13/2022,802,201,194,"1,094",689,99,5,406,425,82,9,7,8,325,2,13,65,8,49,1,406,9,"3,084",936,340,73,466
2/14/2022,802,256,276,"1,213",761,120,6,402,432,91,10,8,7,321,2,12,66,9,59,1,402,11,"3,432",951,335,75,473
2/15/2022,810,307,236,"1,225",746,119,6,430,407,92,10,8,7,311,2,12,66,8,46,1,430,11,"3,448",954,325,74,488
2/16/2022,827,198,174,"1,215",743,119,6,448,404,90,10,8,7,298,2,10,66,8,47,1,448,11,"3,282",968,310,74,507
2/17/2022,837,299,196,"1,241",742,118,6,430,415,91,10,8,7,309,3,10,65,9,46,1,430,11,"3,439",961,321,74,488
2/18/2022,844,381,209,"1,254",739,118,6,445,433,92,10,8,7,320,2,10,65,8,52,1,445,11,"3,551",996,332,73,510
2/19/2022,846,383,181,"1,252",742,118,6,394,403,94,10,8,7,349,2,12,65,8,75,1,394,11,"3,528",917,363,73,482
2/20/2022,840,277,171,"1,074",668,97,7,401,456,81,13,7,6,314,2,11,66,9,83,1,401,11,"3,135",965,327,75,496
2/21/2022,847,204,77,"1,213",747,118,7,407,419,90,16,8,7,305,2,10,66,8,57,1,407,13,"3,212",946,317,75,477
2/22/2022,844,67,42,"1,225",758,121,7,431,434,92,16,8,7,314,2,11,66,8,49,1,431,13,"3,063",988,327,74,495
2/23/2022,840,54,31,"1,228",757,121,7,433,433,91,16,8,7,298,2,11,66,8,54,1,433,13,"3,039",990,311,74,501
2/24/2022,853,69,87,"1,225",754,121,7,405,431,91,16,8,7,267,2,10,66,9,69,1,405,13,"3,117",959,280,75,488
