Date,Power Generation,Industry,NGV,GSP,Others,Total
1/1/2022,"1,424",578,97,806,18,"2,924"
1/2/2022,"1,509",562,84,841,18,"3,014"
1/3/2022,"1,921",691,116,824,18,"3,569"
1/4/2022,"2,563",691,117,820,18,"4,210"
1/5/2022,"2,818",736,148,826,24,"4,552"
1/6/2022,"2,935",728,148,789,22,"4,621"
1/7/2022,"2,971",727,148,802,22,"4,669"
1/8/2022,"2,929",717,149,801,22,"4,618"
1/9/2022,"2,736",651,120,811,20,"4,339"
1/10/2022,"2,852",730,144,808,21,"4,555"
1/11/2022,"2,928",725,144,791,20,"4,607"
1/12/2022,"2,908",725,145,807,21,"4,605"
1/13/2022,"3,139",727,146,810,23,"4,845"
1/14/2022,"3,212",730,144,816,26,"4,927"
1/15/2022,"3,109",735,145,808,26,"4,823"
1/16/2022,"3,018",663,117,816,23,"4,638"
1/17/2022,"3,154",739,141,809,25,"4,867"
1/18/2022,"3,081",732,140,817,25,"4,795"
1/19/2022,"3,184",737,141,853,25,"4,939"
1/20/2022,"3,220",738,142,844,25,"4,969"
1/21/2022,"3,270",736,141,844,25,"5,015"
1/22/2022,"3,202",737,141,845,25,"4,951"
1/23/2022,"3,046",675,116,822,23,"4,682"
1/24/2022,"3,240",738,140,847,25,"4,989"
1/25/2022,"3,348",729,138,847,25,"5,088"
1/26/2022,"3,431",727,138,830,25,"5,152"
1/27/2022,"3,396",737,138,829,25,"5,125"
1/28/2022,"3,484",738,138,829,25,"5,214"
1/29/2022,"3,209",746,139,824,24,"4,942"
1/30/2022,"3,163",673,116,832,23,"4,808"
1/31/2022,"3,132",757,140,738,24,"4,791"
2/1/2022,"3,239",779,139,836,24,"5,016"
2/2/2022,"3,334",776,138,809,24,"5,081"
2/3/2022,"3,395",772,138,829,24,"5,158"
2/4/2022,"3,357",781,139,828,25,"5,130"
2/5/2022,"3,228",783,139,828,24,"5,003"
2/6/2022,"3,144",701,117,819,22,"4,804"
2/7/2022,"3,351",771,139,816,25,"5,101"
2/8/2022,"3,433",756,138,819,25,"5,171"
2/9/2022,"3,525",767,139,781,25,"5,238"
2/10/2022,"3,541",769,138,847,26,"5,321"
2/11/2022,"3,586",781,140,839,25,"5,371"
2/12/2022,"3,532",771,139,819,25,"5,286"
2/13/2022,"3,245",698,116,816,23,"4,898"
2/14/2022,"3,517",771,139,815,25,"5,267"
2/15/2022,"3,548",756,138,822,25,"5,288"
2/16/2022,"3,388",753,138,837,25,"5,141"
2/17/2022,"3,522",752,138,847,25,"5,283"
2/18/2022,"3,697",749,137,854,25,"5,461"
2/19/2022,"3,591",752,137,857,25,"5,362"
2/20/2022,"3,324",682,115,851,25,"4,996"
2/21/2022,"3,243",762,137,857,28,"5,028"
2/22/2022,"3,152",774,139,854,28,"4,948"
2/23/2022,"3,121",773,140,851,29,"4,915"
2/24/2022,"3,116",770,140,863,29,"4,918"
2/25/2022,"3,208",773,139,808,29,"4,957"
2/26/2022,"3,159",774,140,870,29,"4,972"
2/27/2022,"2,882",670,118,857,26,"4,553"
2/28/2022,"3,300",746,139,880,29,"5,094"
3/1/2022,"3,654",752,138,875,30,"5,447"
3/2/2022,"3,744",759,139,877,29,"5,549"
3/3/2022,"3,755",763,139,867,29,"5,553"
3/4/2022,"3,845",757,139,864,29,"5,635"
3/5/2022,"3,931",741,139,867,36,"5,714"
3/6/2022,"3,630",678,116,874,30,"5,328"
3/7/2022,"3,882",733,138,874,34,"5,661"
3/8/2022,"3,780",751,139,865,33,"5,567"
3/9/2022,"3,846",786,139,849,30,"5,650"
3/10/2022,"3,915",797,139,860,30,"5,741"
3/11/2022,"3,927",810,138,871,29,"5,775"
3/12/2022,"3,960",812,140,863,30,"5,805"
3/13/2022,"3,669",771,116,891,28,"5,475"
3/14/2022,"3,896",828,140,891,33,"5,788"
3/15/2022,"3,891",834,140,892,30,"5,786"
3/16/2022,"3,796",826,140,875,30,"5,666"
3/17/2022,"3,813",824,140,873,30,"5,680"
3/18/2022,"3,701",825,139,872,29,"5,566"
3/19/2022,"3,537",820,138,884,29,"5,408"
3/20/2022,"3,328",723,114,833,25,"5,023"
3/21/2022,"3,481",802,137,764,27,"5,210"
3/22/2022,"3,611",806,136,764,27,"5,345"
3/23/2022,"3,677",808,137,769,27,"5,417"
3/24/2022,"3,607",800,137,780,29,"5,353"
3/25/2022,"3,584",798,137,835,29,"5,383"
3/26/2022,"3,517",796,138,858,29,"5,338"
3/27/2022,"3,347",721,115,878,27,"5,087"
3/28/2022,"3,552",795,136,870,29,"5,382"
3/29/2022,"3,724",799,138,848,29,"5,538"
3/30/2022,"3,677",795,138,852,29,"5,490"
3/31/2022,"3,685",796,138,847,29,"5,495"
4/1/2022,"3,407",839,138,828,29,"5,241"
4/2/2022,"3,087",850,138,854,29,"4,958"
4/3/2022,"2,234",789,116,872,24,"4,036"
4/4/2022,"2,753",849,138,878,26,"4,644"
4/5/2022,"3,114",851,138,877,27,"5,009"
4/6/2022,"3,215",786,120,875,25,"5,020"
